frame,cls,range_cm
0,cup,60
0,bowl,60
0,laptop,60
1,cup,60
1,bowl,60
1,laptop,60
2,cup,60
2,bowl,60
2,laptop,60
3,cup,60
3,bowl,60
3,laptop,60
4,cup,60
4,bowl,60
4,laptop,60
5,cup,60
5,bowl,60
5,laptop,60
6,cup,60
6,bowl,60
6,laptop,60
7,cup,60
7,bowl,60
7,laptop,60
8,cup,60
8,bowl,60
8,laptop,60
9,cup,60
9,bowl,60
9,laptop,60
10,cup,60
10,bowl,60
10,laptop,60
11,cup,60
11,bowl,60
11,laptop,60
12,cup,60
12,bowl,60
12,laptop,60
13,cup,60
13,bowl,60
13,laptop,60
14,cup,60
14,bowl,60
14,laptop,60
15,cup,60
15,bowl,60
15,laptop,60
16,cup,60
16,bowl,60
16,laptop,60
17,cup,60
17,bowl,60
17,laptop,60
18,cup,60
18,bowl,60
18,laptop,60
19,cup,60
19,bowl,60
19,laptop,60
20,cup,60
20,bowl,60
20,laptop,60
21,cup,60
21,bowl,60
21,laptop,60
22,cup,60
22,bowl,60
22,laptop,60
23,cup,60
23,bowl,60
23,laptop,60
24,cup,60
24,bowl,60
24,laptop,60
25,cup,60
25,bowl,60
25,laptop,60
26,cup,60
26,bowl,60
26,laptop,60
27,cup,60
27,bowl,60
27,laptop,60
28,cup,60
28,bowl,60
28,laptop,60
29,cup,60
29,bowl,60
29,laptop,60
30,cup,60
30,bowl,60
30,laptop,60
31,cup,60
31,bowl,60
31,laptop,60
32,cup,60
32,bowl,60
32,laptop,60
33,cup,60
33,bowl,60
33,laptop,60
34,cup,60
34,bowl,60
34,laptop,60
35,cup,60
35,bowl,60
35,laptop,60
36,cup,60
36,bowl,60
36,laptop,60
37,cup,60
37,bowl,60
37,laptop,60
38,cup,60
38,bowl,60
38,laptop,60
39,cup,60
39,bowl,60
39,laptop,60
40,cup,60
40,bowl,60
40,laptop,60
41,cup,60
41,bowl,60
41,laptop,60
42,cup,60
42,bowl,60
42,laptop,60
43,cup,60
43,bowl,60
43,laptop,60
44,cup,60
44,bowl,60
44,laptop,60
45,cup,60
45,bowl,60
45,laptop,60
46,cup,60
46,bowl,60
46,laptop,60
47,cup,60
47,bowl,60
47,laptop,60
48,cup,60
48,bowl,60
48,laptop,60
49,cup,60
49,bowl,60
49,laptop,60
50,cup,60
50,bowl,60
50,laptop,60
51,cup,60
51,bowl,60
51,laptop,60
52,cup,60
52,bowl,60
52,laptop,60
53,cup,60
53,bowl,60
53,laptop,60
54,cup,60
54,bowl,60
54,laptop,60
55,cup,60
55,bowl,60
55,laptop,60
56,cup,60
56,bowl,60
56,laptop,60
57,cup,60
57,bowl,60
57,laptop,60
58,bowl,60
58,cup,60
58,laptop,60
59,cup,60
59,bowl,60
59,laptop,60
60,cup,60
60,bowl,60
60,laptop,60
61,cup,60
61,bowl,60
61,laptop,60
62,cup,60
62,bowl,60
62,laptop,60
63,cup,60
63,bowl,60
63,laptop,60
64,cup,60
64,bowl,60
64,laptop,60
65,cup,60
65,bowl,60
65,laptop,60
66,cup,60
66,bowl,60
66,laptop,60
67,cup,60
67,bowl,60
67,laptop,60
68,cup,60
68,bowl,60
68,laptop,60
69,cup,60
69,bowl,60
69,laptop,60
70,cup,60
70,bowl,60
70,laptop,60
71,cup,60
71,bowl,60
71,laptop,60
72,cup,60
72,bowl,60
72,laptop,60
73,cup,60
73,bowl,60
73,laptop,60
74,cup,60
74,bowl,60
74,laptop,60
75,cup,60
75,bowl,60
75,laptop,60
76,cup,60
76,bowl,60
76,laptop,60
77,cup,60
77,bowl,60
77,laptop,60
78,cup,60
78,bowl,60
78,laptop,60
79,cup,60
79,bowl,60
79,laptop,60
80,cup,60
80,bowl,60
80,laptop,60
81,cup,60
81,bowl,60
81,laptop,60
82,cup,60
82,bowl,60
82,laptop,60
83,cup,60
83,bowl,60
83,laptop,60
84,cup,60
84,bowl,60
84,laptop,60
85,cup,60
85,bowl,60
85,laptop,60
86,cup,60
86,bowl,60
86,laptop,60
87,cup,60
87,bowl,60
87,laptop,60
88,cup,60
88,bowl,60
88,laptop,60
89,cup,60
89,bowl,60
89,laptop,60
90,cup,60
90,bowl,60
90,laptop,60
91,cup,60
91,bowl,60
91,laptop,60
92,cup,60
92,bowl,60
92,laptop,60
93,cup,60
93,bowl,60
93,laptop,60
94,cup,60
94,bowl,60
94,laptop,60
95,cup,60
95,bowl,60
95,laptop,60
96,cup,60
96,bowl,60
96,laptop,60
97,cup,60
97,bowl,60
97,laptop,60
98,cup,60
98,bowl,60
98,laptop,60
99,cup,60
99,bowl,60
99,laptop,60
100,cup,60
100,bowl,60
100,laptop,60
101,cup,60
101,bowl,60
101,laptop,60
102,cup,60
102,bowl,60
102,laptop,60
103,cup,60
103,bowl,60
103,laptop,60
104,cup,60
104,bowl,60
104,laptop,60
105,cup,60
105,bowl,60
105,laptop,60
106,cup,60
106,bowl,60
106,laptop,60
107,cup,60
107,bowl,60
107,laptop,60
108,cup,60
108,bowl,60
108,laptop,60
109,cup,60
109,bowl,60
109,laptop,60
110,cup,60
110,bowl,60
110,laptop,60
111,cup,60
111,bowl,60
111,laptop,60
112,cup,60
112,bowl,60
112,laptop,60
113,cup,60
113,bowl,60
113,laptop,60
114,cup,60
114,bowl,60
114,laptop,60
115,cup,60
115,bowl,60
115,laptop,60
116,cup,60
116,bowl,60
116,laptop,60
117,cup,60
117,bowl,60
117,laptop,60
118,cup,60
118,bowl,60
118,laptop,60
119,cup,60
119,bowl,60
119,laptop,60
120,cup,60
120,bowl,60
120,laptop,60
121,cup,60
121,bowl,60
121,laptop,60
122,cup,60
122,bowl,60
122,laptop,60
123,cup,60
123,bowl,60
123,laptop,60
124,cup,60
124,bowl,60
124,laptop,60
125,cup,60
125,bowl,60
125,laptop,60
126,cup,60
126,bowl,60
126,laptop,60
127,cup,60
127,bowl,60
127,laptop,60
128,cup,60
128,bowl,60
128,laptop,60
129,cup,60
129,bowl,60
129,laptop,60
130,cup,60
130,bowl,60
130,laptop,60
131,cup,60
131,bowl,60
131,laptop,60
132,cup,60
132,bowl,60
132,laptop,60
133,cup,60
133,bowl,60
133,laptop,60
134,cup,60
134,bowl,60
134,laptop,60
135,cup,60
135,bowl,60
135,laptop,60
136,cup,60
136,bowl,60
136,laptop,60
137,cup,60
137,bowl,60
137,laptop,60
138,cup,60
138,bowl,60
138,laptop,60
139,cup,60
139,bowl,60
139,laptop,60
140,cup,60
140,bowl,60
140,laptop,60
141,cup,60
141,bowl,60
141,laptop,60
142,cup,60
142,bowl,60
142,laptop,60
143,cup,60
143,bowl,60
143,laptop,60
144,cup,60
144,bowl,60
144,laptop,60
145,cup,60
145,bowl,60
145,laptop,60
146,cup,60
146,bowl,60
146,laptop,60
147,cup,60
147,bowl,60
147,laptop,60
148,cup,60
148,bowl,60
148,laptop,60
149,cup,60
149,bowl,60
149,laptop,60
150,cup,60
150,bowl,60
150,laptop,60
151,cup,60
151,bowl,60
151,laptop,60
152,cup,60
152,bowl,60
152,laptop,60
153,cup,60
153,bowl,60
153,laptop,60
154,cup,60
154,bowl,60
154,laptop,60
155,cup,60
155,bowl,60
155,laptop,60
156,cup,60
156,bowl,60
156,laptop,60
157,cup,60
157,bowl,60
157,laptop,60
158,cup,60
158,bowl,60
158,laptop,60
159,cup,60
159,bowl,60
159,laptop,60
160,cup,60
160,bowl,60
160,laptop,60
161,cup,60
161,bowl,60
161,laptop,60
162,cup,60
162,bowl,60
162,laptop,60
163,cup,60
163,laptop,60
163,bowl,60
164,cup,60
164,bowl,60
164,laptop,60
165,cup,60
165,bowl,60
165,laptop,60
166,cup,60
166,bowl,60
166,laptop,60
167,cup,60
167,bowl,60
167,laptop,60
168,cup,60
168,bowl,60
168,laptop,60
169,cup,60
169,bowl,60
169,laptop,60
170,cup,60
170,bowl,60
170,laptop,60
171,cup,60
171,bowl,60
171,laptop,60
172,cup,60
172,bowl,60
172,laptop,60
173,cup,60
173,bowl,60
173,laptop,60
174,cup,60
174,bowl,60
174,laptop,60
175,cup,60
175,laptop,60
175,bowl,60
176,cup,60
176,bowl,60
176,laptop,60
177,cup,60
177,bowl,60
177,laptop,60
178,cup,60
178,bowl,60
178,laptop,60
179,cup,60
179,bowl,60
179,laptop,60
180,cup,60
180,bowl,60
180,laptop,60
181,cup,60
181,bowl,60
181,laptop,60
182,cup,60
182,bowl,60
182,laptop,60
183,cup,60
183,bowl,60
183,laptop,60
184,cup,60
184,bowl,60
184,laptop,60
185,cup,60
185,bowl,60
185,laptop,60
186,cup,60
186,laptop,60
186,bowl,60
187,cup,60
187,laptop,60
187,bowl,60
188,cup,60
188,laptop,60
188,bowl,60
189,cup,60
189,laptop,60
189,bowl,60
190,cup,60
190,bowl,60
190,laptop,60
191,cup,60
191,laptop,60
191,bowl,60
192,cup,60
192,bowl,60
192,laptop,60
193,cup,60
193,bowl,60
193,laptop,60
194,cup,60
194,bowl,60
194,laptop,60
195,cup,60
195,bowl,60
195,laptop,60
196,cup,60
196,bowl,60
196,laptop,60
197,cup,60
197,bowl,60
197,laptop,60
198,cup,60
198,bowl,60
198,laptop,60
199,cup,60
199,bowl,60
199,laptop,60
200,cup,60
200,laptop,60
200,bowl,60
201,cup,60
201,bowl,60
201,laptop,60
202,cup,60
202,bowl,60
202,laptop,60
203,cup,60
203,bowl,60
203,laptop,60
204,cup,60
204,bowl,60
204,laptop,60
205,cup,60
205,bowl,60
205,laptop,60
206,cup,60
206,bowl,60
206,laptop,60
207,cup,60
207,bowl,60
207,laptop,60
208,cup,60
208,bowl,60
208,laptop,60
209,cup,60
209,bowl,60
209,laptop,60
210,cup,60
210,bowl,60
210,laptop,60
211,cup,60
211,bowl,60
211,laptop,60
212,cup,60
212,bowl,60
212,laptop,60
213,cup,60
213,bowl,60
213,laptop,60
214,cup,60
214,bowl,60
214,laptop,60
215,cup,60
215,bowl,60
215,laptop,60
216,cup,60
216,bowl,60
216,laptop,60
217,cup,60
217,bowl,60
217,laptop,60
218,cup,60
218,laptop,60
218,bowl,60
219,cup,60
219,bowl,60
219,laptop,60
220,cup,60
220,bowl,60
220,laptop,60
221,cup,60
221,bowl,60
221,laptop,60
222,cup,60
222,bowl,60
222,laptop,60
223,cup,60
223,bowl,60
223,laptop,60
224,cup,60
224,bowl,60
224,laptop,60
225,cup,60
225,bowl,60
225,laptop,60
226,cup,60
226,bowl,60
226,laptop,60
227,cup,60
227,bowl,60
227,laptop,60
228,cup,60
228,bowl,60
228,laptop,60
229,cup,60
229,bowl,60
229,laptop,60
230,cup,60
230,bowl,60
230,laptop,60
231,cup,60
231,bowl,60
231,laptop,60
232,cup,60
232,bowl,60
232,laptop,60
233,cup,60
233,laptop,60
233,bowl,60
234,cup,60
234,bowl,60
234,laptop,60
235,cup,60
235,bowl,60
235,laptop,60
236,cup,60
236,bowl,60
236,laptop,60
237,cup,60
237,bowl,60
237,laptop,60
238,cup,60
238,bowl,60
238,laptop,60
239,cup,60
239,bowl,60
239,laptop,60
240,cup,60
240,bowl,60
240,laptop,60
241,cup,60
241,bowl,60
241,laptop,60
242,cup,60
242,bowl,60
242,laptop,60
243,cup,60
243,bowl,60
243,laptop,60
244,cup,60
244,bowl,60
244,laptop,60
245,cup,60
245,bowl,60
245,laptop,60
246,cup,60
246,bowl,60
246,laptop,60
247,cup,60
247,bowl,60
247,laptop,60
248,cup,60
248,bowl,60
248,laptop,60
249,cup,60
249,bowl,60
249,laptop,60
250,cup,60
250,bowl,60
250,laptop,60
251,bowl,60
251,cup,60
251,laptop,60
252,cup,60
252,bowl,60
252,laptop,60
253,cup,60
253,bowl,60
253,laptop,60
254,cup,60
254,bowl,60
254,laptop,60
255,cup,60
255,bowl,60
255,laptop,60
256,cup,60
256,bowl,60
256,laptop,60
257,cup,60
257,bowl,60
257,laptop,60
258,cup,60
258,bowl,60
258,laptop,60
259,cup,60
259,bowl,60
259,laptop,60
260,cup,60
260,bowl,60
260,laptop,60
261,cup,60
261,bowl,60
261,laptop,60
262,cup,60
262,bowl,60
262,laptop,60
263,cup,60
263,bowl,60
263,laptop,60
264,cup,60
264,bowl,60
264,laptop,60
265,cup,60
265,bowl,60
265,laptop,60
266,cup,60
266,bowl,60
266,laptop,60
267,cup,60
267,bowl,60
267,laptop,60
268,cup,60
268,bowl,60
268,laptop,60
269,cup,60
269,bowl,60
269,laptop,60
270,cup,60
270,bowl,60
270,laptop,60
271,cup,60
271,bowl,60
271,laptop,60
272,cup,60
272,bowl,60
272,laptop,60
273,cup,60
273,bowl,60
273,laptop,60
274,cup,60
274,bowl,60
274,laptop,60
275,cup,60
275,bowl,60
275,laptop,60
276,cup,60
276,bowl,60
276,laptop,60
277,cup,60
277,bowl,60
277,laptop,60
278,cup,60
278,bowl,60
278,laptop,60
279,cup,60
279,bowl,60
279,laptop,60
280,cup,60
280,bowl,60
280,laptop,60
281,cup,60
281,bowl,60
281,laptop,60
282,bowl,90
282,cup,90
282,laptop,90
282,laptop,90
283,bowl,90
283,cup,90
283,laptop,90
284,bowl,90
284,cup,90
284,laptop,90
285,bowl,90
285,cup,90
285,laptop,90
286,bowl,90
286,cup,90
286,laptop,90
286,tv,90
287,bowl,90
287,cup,90
287,laptop,90
288,bowl,90
288,cup,90
288,laptop,90
288,laptop,90
289,bowl,90
289,cup,90
289,laptop,90
289,laptop,90
290,bowl,90
290,cup,90
290,laptop,90
291,bowl,90
291,cup,90
291,laptop,90
292,bowl,90
292,cup,90
292,laptop,90
292,laptop,90
293,bowl,90
293,cup,90
293,laptop,90
294,bowl,90
294,cup,90
294,laptop,90
295,bowl,90
295,cup,90
295,laptop,90
296,bowl,90
296,cup,90
296,laptop,90
297,bowl,90
297,cup,90
297,laptop,90
298,bowl,90
298,cup,90
298,laptop,90
299,bowl,90
299,cup,90
299,laptop,90
300,bowl,90
300,cup,90
300,laptop,90
301,bowl,90
301,cup,90
301,laptop,90
302,bowl,90
302,laptop,90
302,cup,90
303,bowl,90
303,laptop,90
303,cup,90
303,laptop,90
304,bowl,90
304,cup,90
304,laptop,90
305,bowl,90
305,laptop,90
305,cup,90
306,bowl,90
306,cup,90
306,laptop,90
307,bowl,90
307,cup,90
307,laptop,90
308,bowl,90
308,cup,90
308,laptop,90
309,bowl,90
309,cup,90
309,laptop,90
309,laptop,90
310,bowl,90
310,cup,90
310,laptop,90
310,laptop,90
311,bowl,90
311,cup,90
311,laptop,90
312,bowl,90
312,cup,90
312,laptop,90
313,bowl,90
313,cup,90
313,laptop,90
313,laptop,90
314,bowl,90
314,cup,90
314,laptop,90
315,bowl,90
315,cup,90
315,laptop,90
316,bowl,90
316,cup,90
316,laptop,90
317,bowl,90
317,cup,90
317,laptop,90
317,laptop,90
318,bowl,90
318,cup,90
318,laptop,90
319,bowl,90
319,cup,90
319,laptop,90
320,bowl,90
320,cup,90
320,laptop,90
321,bowl,90
321,cup,90
321,laptop,90
322,bowl,90
322,laptop,90
322,cup,90
323,bowl,90
323,cup,90
323,laptop,90
324,bowl,90
324,laptop,90
324,cup,90
325,bowl,90
325,cup,90
325,laptop,90
326,bowl,90
326,cup,90
326,laptop,90
327,bowl,90
327,cup,90
327,laptop,90
328,bowl,90
328,laptop,90
328,cup,90
329,bowl,90
329,cup,90
329,laptop,90
330,bowl,90
330,cup,90
330,laptop,90
331,bowl,90
331,cup,90
331,laptop,90
331,laptop,90
332,bowl,90
332,cup,90
332,laptop,90
332,laptop,90
333,bowl,90
333,cup,90
333,laptop,90
333,laptop,90
334,bowl,90
334,cup,90
334,laptop,90
334,laptop,90
335,bowl,90
335,cup,90
335,laptop,90
336,bowl,90
336,cup,90
336,laptop,90
337,bowl,90
