frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
0,shoe,0.6079,443.3,338.7,1322.9,776.0,882,557,-0.0241202597902013,0.0052569796978644,0.5999239683151245,0.6044060313271724
1,shoe,0.5314,442.6,338.6,1322.9,775.7,882,556,-0.0241203002977169,0.0049477539072239,0.5999249758262263,0.6074065443705589
2,shoe,0.5773,443.4,338.0,1323.1,775.4,883,556,-0.0238113041558494,0.0049478034609557,0.5999309843144948,0.6038137105516646
3,shoe,0.4932,443.4,338.6,1323.0,775.7,883,556,-0.0238112018607002,0.0049477822048208,0.5999284069659742,0.6032125437775647
4,shoe,0.5668,442.9,337.0,1322.7,775.1,882,556,-0.0241200257438075,0.0049476975884733,0.5999181470659934,0.6031155649842963
5,shoe,0.6263,443.4,337.5,1323.0,775.2,883,556,-0.0238112192338904,0.0049477858148343,0.5999288446872776,0.6046158294760088
6,shoe,0.628,443.5,338.6,1322.8,775.3,882,556,-0.0241200906430918,0.004947710901147,0.5999197612540882,0.6044876348482405
7,shoe,0.6437,443.1,337.6,1322.7,774.8,882,555,-0.0241202418736141,0.0046385080526181,0.5999235226901528,0.6054800372738033
8,shoe,0.6842,443.1,337.7,1322.7,774.9,882,555,-0.024120268292293,0.0046385131331332,0.5999241797808651,0.6058248839992002
9,shoe,0.5664,443.3,338.5,1322.7,775.2,882,556,-0.0241202275369433,0.004947738981937,0.5999231661055822,0.6019606608242163
10,shoe,0.553,443.3,337.8,1322.6,775.1,882,556,-0.0241202953210373,0.0049477528863666,0.5999248520452466,0.604920602648537
11,shoe,0.5116,443.3,337.3,1322.6,775.0,882,556,-0.0241203531240059,0.0049477647433858,0.5999262897323441,0.6021768944073275
12,shoe,0.5926,443.5,337.8,1322.9,775.1,882,556,-0.0241204140549819,0.0049477772420475,0.5999278052198739,0.6026204708958431
13,shoe,0.5828,443.4,337.6,1322.7,775.3,882,556,-0.0241204507290457,0.0049477847649324,0.5999287173845871,0.6040483412923565
14,shoe,0.6511,443.6,337.0,1322.7,775.2,882,556,-0.0241204729548409,0.0049477893240699,0.5999292701890505,0.6103614597947543
15,shoe,0.6491,444.2,337.8,1322.6,775.6,883,556,-0.0238115965914099,0.0049478642267864,0.5999383522920132,0.611875382102714
16,shoe,0.6161,444.1,337.5,1322.7,775.5,883,556,-0.0238115177699948,0.0049478478483106,0.5999363663693243,0.6051168298753509
17,shoe,0.6636,444.1,337.0,1322.6,775.3,883,556,-0.023811471749552,0.0049478382856212,0.5999352068742642,0.603133702570193
18,shoe,0.6699,444.4,337.3,1323.0,775.5,883,556,-0.0238114496667948,0.0049478336969963,0.599934650494397,0.6203218753490713
19,shoe,0.657,444.3,337.4,1322.7,775.4,883,556,-0.0238114501670771,0.0049478338009511,0.5999346630991182,0.6093268656311321
20,shoe,0.6756,443.9,337.2,1322.6,775.3,882,556,-0.0241203198431801,0.0049477579165497,0.5999254619649294,0.6113530416035846
21,shoe,0.7078,444.0,337.2,1322.6,775.5,883,556,-0.023811519520672,0.0049478482120877,0.5999364104780175,0.6066869807521269
22,shoe,0.6681,444.3,337.9,1322.8,775.3,883,556,-0.0238114909236655,0.0049478422698525,0.5999356899702224,0.6082229750764407
23,shoe,0.7082,444.2,337.1,1322.7,775.1,883,556,-0.0238114706914514,0.0049478380657561,0.5999351802151894,0.6040259456440735
24,shoe,0.63,444.2,337.2,1323.0,775.4,883,556,-0.0238114578424401,0.0049478353958317,0.5999348564815565,0.6026226390140731
25,shoe,0.6703,444.2,337.3,1322.9,775.2,883,556,-0.0238114439908871,0.0049478325175869,0.5999345074886674,0.5999190655597496
26,shoe,0.6638,444.1,337.2,1322.8,774.9,883,555,-0.0238114995822086,0.0046386038147159,0.5999359081240987,0.5989671604008743
27,shoe,0.6145,444.1,337.6,1322.6,775.2,883,556,-0.0238113851065905,0.0049478202818889,0.599933023886015,0.6014725232605123
28,shoe,0.5713,444.5,337.3,1322.6,775.3,883,556,-0.0238113749272821,0.0049478181667079,0.5999327674161257,0.6065209171018693
29,shoe,0.6231,444.3,337.4,1322.4,775.4,883,556,-0.0238113559939615,0.0049478142325114,0.5999322903869994,0.609377291621538
30,shoe,0.645,443.4,338.3,1324.5,775.2,883,556,-0.0238113300324678,0.0049478088379153,0.5999316362815208,0.6082721370686293
31,shoe,0.6216,443.6,338.3,1324.4,774.9,883,556,-0.0238113411228957,0.0049478111424199,0.5999319157072638,0.6080194401348936
32,shoe,0.6152,443.6,338.2,1324.5,775.2,883,556,-0.023811363916751,0.0049478158788054,0.5999324900034027,0.6044344289614342
33,shoe,0.5733,443.2,338.0,1324.6,775.3,883,556,-0.023811396530504,0.0049478226556891,0.5999333117139979,0.6043931652609271
34,shoe,0.6123,443.5,338.1,1324.7,775.3,883,556,-0.0238114171378891,0.0049478269377431,0.5999338309215456,0.6034642423404954
